policy,seed,step,value
none,17,0,0.2669962917181706
none,17,1,0.2669962917181706
none,17,2,0.2669962917181706
none,17,3,0.2669962917181706
none,17,4,0.2669962917181706
none,17,5,0.2669962917181706
none,17,6,0.2669962917181706
none,17,7,0.2669962917181706
none,17,8,0.2669962917181706
none,17,9,0.2669962917181706
none,17,10,0.2669962917181706
none,17,11,0.2669962917181706
none,17,12,0.2669962917181706
none,17,13,0.2669962917181706
none,17,14,0.2669962917181706
none,17,15,0.2669962917181706
none,17,16,0.2669962917181706
none,17,17,0.2669962917181706
none,17,18,0.2669962917181706
none,17,19,0.2669962917181706
none,17,20,0.2669962917181706
none,17,21,0.2669962917181706
none,17,22,0.2669962917181706
none,17,23,0.2669962917181706
none,17,24,0.2669962917181706
none,17,25,0.2669962917181706
none,17,26,0.2669962917181706
none,17,27,0.2669962917181706
none,17,28,0.2669962917181706
none,17,29,0.2669962917181706
none,17,30,0.2669962917181706
rewire_edge_random,0,0,0.2669962917181706
rewire_edge_random,0,1,0.3967861557478368
rewire_edge_random,0,2,0.3967861557478368
rewire_edge_random,0,3,0.4969097651421508
rewire_edge_random,0,4,0.4969097651421508
rewire_edge_random,0,5,0.657601977750309
rewire_edge_random,0,6,0.6563658838071693
rewire_edge_random,0,7,0.6563658838071693
rewire_edge_random,0,8,0.7750309023485785
rewire_edge_random,0,9,0.957972805933251
rewire_edge_random,0,10,0.957972805933251
rewire_edge_random,0,11,0.9567367119901112
rewire_edge_random,0,12,0.9567367119901112
rewire_edge_random,0,13,0.9567367119901112
rewire_edge_random,0,14,0.9567367119901112
rewire_edge_random,0,15,0.9567367119901112
rewire_edge_random,0,16,0.9567367119901112
rewire_edge_random,0,17,0.9567367119901112
rewire_edge_random,0,18,0.9567367119901112
rewire_edge_random,0,19,0.9567367119901112
rewire_edge_random,0,20,0.9567367119901112
rewire_edge_random,0,21,0.9567367119901112
rewire_edge_random,0,22,0.9555006180469716
rewire_edge_random,0,23,0.9555006180469716
rewire_edge_random,0,24,0.9542645241038319
rewire_edge_random,0,25,0.9542645241038319
rewire_edge_random,0,26,0.9542645241038319
rewire_edge_random,0,27,0.9542645241038319
rewire_edge_random,0,28,0.9542645241038319
rewire_edge_random,0,29,0.9542645241038319
rewire_edge_random,0,30,0.9443757725587144
rewire_edge_random,1,0,0.2669962917181706
rewire_edge_random,1,1,0.2669962917181706
rewire_edge_random,1,2,0.2669962917181706
rewire_edge_random,1,3,0.34981458590852904
rewire_edge_random,1,4,0.449938195302843
rewire_edge_random,1,5,0.5105067985166872
rewire_edge_random,1,6,0.9592088998763906
rewire_edge_random,1,7,0.957972805933251
rewire_edge_random,1,8,0.957972805933251
rewire_edge_random,1,9,0.957972805933251
rewire_edge_random,1,10,0.957972805933251
rewire_edge_random,1,11,0.9542645241038319
rewire_edge_random,1,12,0.9530284301606922
rewire_edge_random,1,13,0.9530284301606922
rewire_edge_random,1,14,0.9530284301606922
rewire_edge_random,1,15,0.9530284301606922
rewire_edge_random,1,16,0.9530284301606922
rewire_edge_random,1,17,0.9530284301606922
rewire_edge_random,1,18,0.9517923362175525
rewire_edge_random,1,19,0.9443757725587144
rewire_edge_random,1,20,0.9443757725587144
rewire_edge_random,1,21,0.9443757725587144
rewire_edge_random,1,22,0.9480840543881335
rewire_edge_random,1,23,0.9480840543881335
rewire_edge_random,1,24,0.9480840543881335
rewire_edge_random,1,25,0.9480840543881335
rewire_edge_random,1,26,0.9480840543881335
rewire_edge_random,1,27,0.9480840543881335
rewire_edge_random,1,28,0.9480840543881335
rewire_edge_random,1,29,0.9480840543881335
rewire_edge_random,1,30,0.9456118665018541
rewire_edge_random,2,0,0.2669962917181706
rewire_edge_random,2,1,0.2669962917181706
rewire_edge_random,2,2,0.2669962917181706
rewire_edge_random,2,3,0.39184177997527814
rewire_edge_random,2,4,0.39184177997527814
rewire_edge_random,2,5,0.6588380716934487
rewire_edge_random,2,6,0.657601977750309
rewire_edge_random,2,7,0.7762669962917181
rewire_edge_random,2,8,0.7762669962917181
rewire_edge_random,2,9,0.7713226205191595
rewire_edge_random,2,10,0.9505562422744128
rewire_edge_random,2,11,0.9505562422744128
rewire_edge_random,2,12,0.9505562422744128
rewire_edge_random,2,13,0.9505562422744128
rewire_edge_random,2,14,0.9493201483312732
rewire_edge_random,2,15,0.9493201483312732
rewire_edge_random,2,16,0.9493201483312732
rewire_edge_random,2,17,0.9493201483312732
rewire_edge_random,2,18,0.9493201483312732
rewire_edge_random,2,19,0.9480840543881335
rewire_edge_random,2,20,0.9480840543881335
rewire_edge_random,2,21,0.9480840543881335
rewire_edge_random,2,22,0.9480840543881335
rewire_edge_random,2,23,0.9493201483312732
rewire_edge_random,2,24,0.9493201483312732
rewire_edge_random,2,25,0.9493201483312732
rewire_edge_random,2,26,0.9493201483312732
rewire_edge_random,2,27,0.9493201483312732
rewire_edge_random,2,28,0.9493201483312732
rewire_edge_random,2,29,0.9493201483312732
rewire_edge_random,2,30,0.9493201483312732
rewire_edge_random,3,0,0.2669962917181706
rewire_edge_random,3,1,0.44870210135970334
rewire_edge_random,3,2,0.44870210135970334
rewire_edge_random,3,3,0.44870210135970334
rewire_edge_random,3,4,0.5797280593325093
rewire_edge_random,3,5,0.5797280593325093
rewire_edge_random,3,6,0.5797280593325093
rewire_edge_random,3,7,0.5797280593325093
rewire_edge_random,3,8,0.5797280593325093
rewire_edge_random,3,9,0.8405438813349815
rewire_edge_random,3,10,0.8405438813349815
rewire_edge_random,3,11,0.8405438813349815
rewire_edge_random,3,12,0.8393077873918418
rewire_edge_random,3,13,0.8393077873918418
rewire_edge_random,3,14,0.8393077873918418
rewire_edge_random,3,15,0.8393077873918418
rewire_edge_random,3,16,0.957972805933251
rewire_edge_random,3,17,0.9567367119901112
rewire_edge_random,3,18,0.9567367119901112
rewire_edge_random,3,19,0.9567367119901112
rewire_edge_random,3,20,0.9530284301606922
rewire_edge_random,3,21,0.9530284301606922
rewire_edge_random,3,22,0.9530284301606922
rewire_edge_random,3,23,0.9530284301606922
rewire_edge_random,3,24,0.9530284301606922
rewire_edge_random,3,25,0.9530284301606922
rewire_edge_random,3,26,0.9530284301606922
