model,run,step,node_or_outcome,value
voter,1,41,tracked_state_1,8
voter,1,42,tracked_state_1,8
voter,1,43,tracked_state_1,8
voter,1,44,tracked_state_1,8
voter,1,45,tracked_state_1,8
voter,1,46,tracked_state_1,8
voter,1,47,tracked_state_1,8
voter,1,48,tracked_state_1,8
voter,1,49,tracked_state_1,8
voter,1,50,tracked_state_1,8
voter,1,51,tracked_state_1,8
voter,1,52,tracked_state_1,8
voter,1,53,tracked_state_1,8
voter,1,54,tracked_state_1,8
voter,1,55,tracked_state_1,8
voter,1,56,tracked_state_1,8
voter,1,57,tracked_state_1,8
voter,1,58,tracked_state_1,8
voter,1,59,tracked_state_1,8
voter,1,60,tracked_state_1,8
voter,1,61,tracked_state_1,8
voter,1,62,tracked_state_1,8
voter,1,63,tracked_state_1,9
voter,1,64,tracked_state_1,9
voter,1,65,tracked_state_1,9
voter,1,66,tracked_state_1,9
voter,1,67,tracked_state_1,9
voter,1,68,tracked_state_1,9
voter,1,69,tracked_state_1,9
voter,1,70,tracked_state_1,9
voter,1,71,tracked_state_1,9
voter,1,72,tracked_state_1,10
voter,1,73,tracked_state_1,10
voter,1,74,tracked_state_1,10
voter,1,75,tracked_state_1,10
voter,1,76,tracked_state_1,11
voter,1,77,tracked_state_1,11
voter,1,78,tracked_state_1,11
voter,1,79,tracked_state_1,12
voter,1,80,tracked_state_1,12
voter,1,81,tracked_state_1,12
voter,1,82,tracked_state_1,12
voter,1,83,tracked_state_1,12
voter,1,84,tracked_state_1,12
voter,1,85,tracked_state_1,12
voter,1,86,tracked_state_1,12
voter,1,87,tracked_state_1,12
voter,1,88,tracked_state_1,12
voter,1,89,tracked_state_1,12
voter,1,90,tracked_state_1,12
voter,1,91,tracked_state_1,12
voter,1,92,tracked_state_1,12
voter,1,93,tracked_state_1,12
voter,1,94,tracked_state_1,12
voter,1,95,tracked_state_1,12
voter,1,96,tracked_state_1,11
voter,1,97,tracked_state_1,11
voter,1,98,tracked_state_1,11
voter,1,99,tracked_state_1,12
voter,1,100,tracked_state_1,12
voter,2,0,tracked_state_1,10
voter,2,1,tracked_state_1,10
voter,2,2,tracked_state_1,10
voter,2,3,tracked_state_1,10
voter,2,4,tracked_state_1,10
voter,2,5,tracked_state_1,10
voter,2,6,tracked_state_1,10
voter,2,7,tracked_state_1,9
voter,2,8,tracked_state_1,9
voter,2,9,tracked_state_1,9
voter,2,10,tracked_state_1,9
voter,2,11,tracked_state_1,9
voter,2,12,tracked_state_1,9
voter,2,13,tracked_state_1,9
voter,2,14,tracked_state_1,9
voter,2,15,tracked_state_1,8
voter,2,16,tracked_state_1,8
voter,2,17,tracked_state_1,8
voter,2,18,tracked_state_1,8
voter,2,19,tracked_state_1,8
voter,2,20,tracked_state_1,8
voter,2,21,tracked_state_1,8
voter,2,22,tracked_state_1,8
voter,2,23,tracked_state_1,8
voter,2,24,tracked_state_1,8
voter,2,25,tracked_state_1,8
voter,2,26,tracked_state_1,8
voter,2,27,tracked_state_1,8
voter,2,28,tracked_state_1,8
voter,2,29,tracked_state_1,8
voter,2,30,tracked_state_1,8
voter,2,31,tracked_state_1,8
voter,2,32,tracked_state_1,8
voter,2,33,tracked_state_1,8
voter,2,34,tracked_state_1,8
voter,2,35,tracked_state_1,8
voter,2,36,tracked_state_1,8
voter,2,37,tracked_state_1,8
voter,2,38,tracked_state_1,8
voter,2,39,tracked_state_1,7
voter,2,40,tracked_state_1,7
voter,2,41,tracked_state_1,7
voter,2,42,tracked_state_1,7
voter,2,43,tracked_state_1,7
voter,2,44,tracked_state_1,7
voter,2,45,tracked_state_1,7
voter,2,46,tracked_state_1,7
voter,2,47,tracked_state_1,7
voter,2,48,tracked_state_1,7
voter,2,49,tracked_state_1,7
voter,2,50,tracked_state_1,7
voter,2,51,tracked_state_1,7
voter,2,52,tracked_state_1,6
voter,2,53,tracked_state_1,6
voter,2,54,tracked_state_1,6
voter,2,55,tracked_state_1,6
voter,2,56,tracked_state_1,6
voter,2,57,tracked_state_1,5
voter,2,58,tracked_state_1,5
voter,2,59,tracked_state_1,5
voter,2,60,tracked_state_1,5
voter,2,61,tracked_state_1,4
voter,2,62,tracked_state_1,4
voter,2,63,tracked_state_1,3
voter,2,64,tracked_state_1,3
voter,2,65,tracked_state_1,3
voter,2,66,tracked_state_1,3
voter,2,67,tracked_state_1,3
voter,2,68,tracked_state_1,3
voter,2,69,tracked_state_1,3
voter,2,70,tracked_state_1,3
voter,2,71,tracked_state_1,3
voter,2,72,tracked_state_1,3
voter,2,73,tracked_state_1,3
voter,2,74,tracked_state_1,3
voter,2,75,tracked_state_1,3
voter,2,76,tracked_state_1,3
voter,2,77,tracked_state_1,3
voter,2,78,tracked_state_1,3
voter,2,79,tracked_state_1,3
voter,2,80,tracked_state_1,3
voter,2,81,tracked_state_1,3
voter,2,82,tracked_state_1,3
voter,2,83,tracked_state_1,3
voter,2,84,tracked_state_1,3
voter,2,85,tracked_state_1,3
voter,2,86,tracked_state_1,3
voter,2,87,tracked_state_1,3
voter,2,88,tracked_state_1,3
voter,2,89,tracked_state_1,3
voter,2,90,tracked_state_1,3
voter,2,91,tracked_state_1,3
voter,2,92,tracked_state_1,3
voter,2,93,tracked_state_1,3
voter,2,94,tracked_state_1,3
voter,2,95,tracked_state_1,3
voter,2,96,tracked_state_1,3
voter,2,97,tracked_state_1,3
voter,2,98,tracked_state_1,3
voter,2,99,tracked_state_1,3
voter,2,100,tracked_state_1,4
voter,3,0,tracked_state_1,10
voter,3,1,tracked_state_1,10
voter,3,2,tracked_state_1,10
voter,3,3,tracked_state_1,10
voter,3,4,tracked_state_1,10
voter,3,5,tracked_state_1,10
voter,3,6,tracked_state_1,10
voter,3,7,tracked_state_1,10
voter,3,8,tracked_state_1,10
voter,3,9,tracked_state_1,10
voter,3,10,tracked_state_1,10
voter,3,11,tracked_state_1,10
voter,3,12,tracked_state_1,10
voter,3,13,tracked_state_1,10
voter,3,14,tracked_state_1,10
voter,3,15,tracked_state_1,10
voter,3,16,tracked_state_1,11
voter,3,17,tracked_state_1,11
voter,3,18,tracked_state_1,11
voter,3,19,tracked_state_1,11
voter,3,20,tracked_state_1,11
voter,3,21,tracked_state_1,11
voter,3,22,tracked_state_1,11
voter,3,23,tracked_state_1,11
voter,3,24,tracked_state_1,10
voter,3,25,tracked_state_1,11
voter,3,26,tracked_state_1,11
voter,3,27,tracked_state_1,11
voter,3,28,tracked_state_1,11
voter,3,29,tracked_state_1,11
voter,3,30,tracked_state_1,11
voter,3,31,tracked_state_1,11
voter,3,32,tracked_state_1,11
voter,3,33,tracked_state_1,11
voter,3,34,tracked_state_1,11
voter,3,35,tracked_state_1,11
voter,3,36,tracked_state_1,11
voter,3,37,tracked_state_1,11
voter,3,38,tracked_state_1,11
voter,3,39,tracked_state_1,11
voter,3,40,tracked_state_1,11
voter,3,41,tracked_state_1,11
voter,3,42,tracked_state_1,11
voter,3,43,tracked_state_1,11
voter,3,44,tracked_state_1,11
voter,3,45,tracked_state_1,11
voter,3,46,tracked_state_1,12
voter,3,47,tracked_state_1,12
voter,3,48,tracked_state_1,12
voter,3,49,tracked_state_1,13
voter,3,50,tracked_state_1,13
voter,3,51,tracked_state_1,13
voter,3,52,tracked_state_1,13
voter,3,53,tracked_state_1,13
voter,3,54,tracked_state_1,13
voter,3,55,tracked_state_1,12
voter,3,56,tracked_state_1,12
voter,3,57,tracked_state_1,12
voter,3,58,tracked_state_1,12
voter,3,59,tracked_state_1,12
voter,3,60,tracked_state_1,12
voter,3,61,tracked_state_1,12
voter,3,62,tracked_state_1,12
voter,3,63,tracked_state_1,12
voter,3,64,tracked_state_1,12
voter,3,65,tracked_state_1,12
voter,3,66,tracked_state_1,12
voter,3,67,tracked_state_1,12
voter,3,68,tracked_state_1,12
voter,3,69,tracked_state_1,12
voter,3,70,tracked_state_1,12
voter,3,71,tracked_state_1,12
voter,3,72,tracked_state_1,12
voter,3,73,tracked_state_1,12
voter,3,74,tracked_state_1,12
voter,3,75,tracked_state_1,12
voter,3,76,tracked_state_1,12
voter,3,77,tracked_state_1,12
voter,3,78,tracked_state_1,12
voter,3,79,tracked_state_1,12
voter,3,80,tracked_state_1,12
voter,3,81,tracked_state_1,12
voter,3,82,tracked_state_1,12
voter,3,83,tracked_state_1,12
voter,3,84,tracked_state_1,12
voter,3,85,tracked_state_1,12
voter,3,86,tracked_state_1,12
voter,3,87,tracked_state_1,12
voter,3,88,tracked_state_1,12
voter,3,89,tracked_state_1,12
voter,3,90,tracked_state_1,12
voter,3,91,tracked_state_1,12
voter,3,92,tracked_state_1,12
voter,3,93,tracked_state_1,12
voter,3,94,tracked_state_1,12
voter,3,95,tracked_state_1,11
voter,3,96,tracked_state_1,11
voter,3,97,tracked_state_1,11
voter,3,98,tracked_state_1,11
voter,3,99,tracked_state_1,11
voter,3,100,tracked_state_1,11
voter,4,0,tracked_state_1,10
voter,4,1,tracked_state_1,11
voter,4,2,tracked_state_1,12
voter,4,3,tracked_state_1,12
voter,4,4,tracked_state_1,12
voter,4,5,tracked_state_1,12
voter,4,6,tracked_state_1,12
voter,4,7,tracked_state_1,13
voter,4,8,tracked_state_1,13
voter,4,9,tracked_state_1,13
voter,4,10,tracked_state_1,14
voter,4,11,tracked_state_1,14
voter,4,12,tracked_state_1,14
voter,4,13,tracked_state_1,14
voter,4,14,tracked_state_1,14
voter,4,15,tracked_state_1,14
voter,4,16,tracked_state_1,14
voter,4,17,tracked_state_1,14
voter,4,18,tracked_state_1,14
voter,4,19,tracked_state_1,14
voter,4,20,tracked_state_1,14
voter,4,21,tracked_state_1,14
voter,4,22,tracked_state_1,14
voter,4,23,tracked_state_1,14
voter,4,24,tracked_state_1,14
voter,4,25,tracked_state_1,14
voter,4,26,tracked_state_1,14
voter,4,27,tracked_state_1,14
voter,4,28,tracked_state_1,14
voter,4,29,tracked_state_1,14
voter,4,30,tracked_state_1,13
voter,4,31,tracked_state_1,13
voter,4,32,tracked_state_1,13
voter,4,33,tracked_state_1,13
voter,4,34,tracked_state_1,13
voter,4,35,tracked_state_1,13
voter,4,36,tracked_state_1,13
voter,4,37,tracked_state_1,13
voter,4,38,tracked_state_1,13
voter,4,39,tracked_state_1,13
voter,4,40,tracked_state_1,13
voter,4,41,tracked_state_1,13
voter,4,42,tracked_state_1,13
voter,4,43,tracked_state_1,13
voter,4,44,tracked_state_1,13
voter,4,45,tracked_state_1,13
voter,4,46,tracked_state_1,13
voter,4,47,tracked_state_1,13
voter,4,48,tracked_state_1,13
voter,4,49,tracked_state_1,13
voter,4,50,tracked_state_1,13
voter,4,51,tracked_state_1,13
voter,4,52,tracked_state_1,13
voter,4,53,tracked_state_1,13
voter,4,54,tracked_state_1,13
voter,4,55,tracked_state_1,14
voter,4,56,tracked_state_1,14
voter,4,57,tracked_state_1,14
voter,4,58,tracked_state_1,14
voter,4,59,tracked_state_1,14
voter,4,60,tracked_state_1,14
voter,4,61,tracked_state_1,14
voter,4,62,tracked_state_1,14
voter,4,63,tracked_state_1,14
voter,4,64,tracked_state_1,13
voter,4,65,tracked_state_1,13
voter,4,66,tracked_state_1,13
voter,4,67,tracked_state_1,13
voter,4,68,tracked_state_1,13
voter,4,69,tracked_state_1,13
voter,4,70,tracked_state_1,13
voter,4,71,tracked_state_1,13
voter,4,72,tracked_state_1,13
voter,4,73,tracked_state_1,13
voter,4,74,tracked_state_1,13
voter,4,75,tracked_state_1,13
voter,4,76,tracked_state_1,13
voter,4,77,tracked_state_1,13
voter,4,78,tracked_state_1,13
voter,4,79,tracked_state_1,13
voter,4,80,tracked_state_1,12
voter,4,81,tracked_state_1,12
voter,4,82,tracked_state_1,12
voter,4,83,tracked_state_1,12
voter,4,84,tracked_state_1,12
voter,4,85,tracked_state_1,12
voter,4,86,tracked_state_1,12
voter,4,87,tracked_state_1,12
voter,4,88,tracked_state_1,12
voter,4,89,tracked_state_1,12
voter,4,90,tracked_state_1,12
voter,4,91,tracked_state_1,12
voter,4,92,tracked_state_1,12
voter,4,93,tracked_state_1,13
voter,4,94,tracked_state_1,13
voter,4,95,tracked_state_1,13
voter,4,96,tracked_state_1,13
voter,4,97,tracked_state_1,13
voter,4,98,tracked_state_1,13
voter,4,99,tracked_state_1,13
voter,4,100,tracked_state_1,13
voter,5,0,tracked_state_1,10
voter,5,1,tracked_state_1,10
voter,5,2,tracked_state_1,10
voter,5,3,tracked_state_1,10
voter,5,4,tracked_state_1,10
voter,5,5,tracked_state_1,9
voter,5,6,tracked_state_1,10
voter,5,7,tracked_state_1,10
voter,5,8,tracked_state_1,10
voter,5,9,tracked_state_1,10
voter,5,10,tracked_state_1,10
voter,5,11,tracked_state_1,10
voter,5,12,tracked_state_1,10
voter,5,13,tracked_state_1,10
voter,5,14,tracked_state_1,10
voter,5,15,tracked_state_1,10
voter,5,16,tracked_state_1,10
voter,5,17,tracked_state_1,10
voter,5,18,tracked_state_1,10
voter,5,19,tracked_state_1,9
voter,5,20,tracked_state_1,9
voter,5,21,tracked_state_1,9
voter,5,22,tracked_state_1,9
voter,5,23,tracked_state_1,9
voter,5,24,tracked_state_1,9
voter,5,25,tracked_state_1,9
voter,5,26,tracked_state_1,9
voter,5,27,tracked_state_1,9
voter,5,28,tracked_state_1,9
voter,5,29,tracked_state_1,9
voter,5,30,tracked_state_1,9
voter,5,31,tracked_state_1,9
voter,5,32,tracked_state_1,9
voter,5,33,tracked_state_1,9
voter,5,34,tracked_state_1,9
voter,5,35,tracked_state_1,8
voter,5,36,tracked_state_1,8
voter,5,37,tracked_state_1,7
voter,5,38,tracked_state_1,7
voter,5,39,tracked_state_1,7
voter,5,40,tracked_state_1,7
voter,5,41,tracked_state_1,6
voter,5,42,tracked_state_1,6
voter,5,43,tracked_state_1,6
voter,5,44,tracked_state_1,6
voter,5,45,tracked_state_1,6
voter,5,46,tracked_state_1,6
voter,5,47,tracked_state_1,6
voter,5,48,tracked_state_1,6
voter,5,49,tracked_state_1,6
voter,5,50,tracked_state_1,6
voter,5,51,tracked_state_1,6
voter,5,52,tracked_state_1,6
voter,5,53,tracked_state_1,6
voter,5,54,tracked_state_1,6
voter,5,55,tracked_state_1,6
voter,5,56,tracked_state_1,6
voter,5,57,tracked_state_1,6
voter,5,58,tracked_state_1,7
voter,5,59,tracked_state_1,7
voter,5,60,tracked_state_1,7
voter,5,61,tracked_state_1,7
voter,5,62,tracked_state_1,7
voter,5,63,tracked_state_1,7
voter,5,64,tracked_state_1,7
voter,5,65,tracked_state_1,7
voter,5,66,tracked_state_1,7
voter,5,67,tracked_state_1,7
voter,5,68,tracked_state_1,7
voter,5,69,tracked_state_1,7
voter,5,70,tracked_state_1,7
voter,5,71,tracked_state_1,7
voter,5,72,tracked_state_1,8
voter,5,73,tracked_state_1,8
voter,5,74,tracked_state_1,8
voter,5,75,tracked_state_1,8
voter,5,76,tracked_state_1,8
voter,5,77,tracked_state_1,8
voter,5,78,tracked_state_1,8
voter,5,79,tracked_state_1,8
voter,5,80,tracked_state_1,8
voter,5,81,tracked_state_1,8
voter,5,82,tracked_state_1,8
voter,5,83,tracked_state_1,8
voter,5,84,tracked_state_1,8
voter,5,85,tracked_state_1,8
voter,5,86,tracked_state_1,8
voter,5,87,tracked_state_1,8
voter,5,88,tracked_state_1,8
voter,5,89,tracked_state_1,8
voter,5,90,tracked_state_1,8
voter,5,91,tracked_state_1,8
voter,5,92,tracked_state_1,8
voter,5,93,tracked_state_1,8
voter,5,94,tracked_state_1,8
voter,5,95,tracked_state_1,8
voter,5,96,tracked_state_1,8
voter,5,97,tracked_state_1,8
voter,5,98,tracked_state_1,8
voter,5,99,tracked_state_1,8
voter,5,100,tracked_state_1,8
voter,6,0,tracked_state_1,10
voter,6,1,tracked_state_1,10
voter,6,2,tracked_state_1,10
