policy,seed,step,value
rnd_node,0,0,1.0
rnd_node,0,1,0.9987639060568603
rnd_node,0,2,0.9975278121137207
rnd_node,0,3,0.9962917181705809
rnd_node,0,4,0.9950556242274413
rnd_node,0,5,0.9938195302843016
rnd_node,0,6,0.992583436341162
rnd_node,0,7,0.9913473423980222
rnd_node,0,8,0.9888751545117429
rnd_node,0,9,0.9864029666254636
rnd_node,0,10,0.9851668726823238
rnd_node,0,11,0.9839307787391842
rnd_node,0,12,0.9826946847960445
rnd_node,0,13,0.9765142150803461
rnd_node,0,14,0.9752781211372065
rnd_node,0,15,0.9728059332509271
rnd_node,0,16,0.9715698393077874
rnd_node,0,17,0.9703337453646477
rnd_node,0,18,0.969097651421508
rnd_node,0,19,0.9678615574783683
rnd_node,0,20,0.9666254635352287
rnd_node,0,21,0.965389369592089
rnd_node,0,22,0.9629171817058096
rnd_node,0,23,0.9616810877626699
rnd_node,0,24,0.9542645241038319
rnd_node,0,25,0.9505562422744128
rnd_node,0,26,0.9493201483312732
rnd_node,0,27,0.9480840543881335
rnd_node,0,28,0.9332509270704573
rnd_node,0,29,0.9320148331273177
rnd_node,0,30,0.930778739184178
rnd_node,1,0,1.0
rnd_node,1,1,0.9962917181705809
rnd_node,1,2,0.9950556242274413
rnd_node,1,3,0.9938195302843016
rnd_node,1,4,0.992583436341162
rnd_node,1,5,0.9913473423980222
rnd_node,1,6,0.9901112484548825
rnd_node,1,7,0.9876390605686032
rnd_node,1,8,0.9864029666254636
rnd_node,1,9,0.9851668726823238
rnd_node,1,10,0.9839307787391842
rnd_node,1,11,0.9826946847960445
rnd_node,1,12,0.9814585908529048
rnd_node,1,13,0.9802224969097652
rnd_node,1,14,0.9789864029666254
rnd_node,1,15,0.9777503090234858
rnd_node,1,16,0.9765142150803461
rnd_node,1,17,0.9752781211372065
rnd_node,1,18,0.9740420271940667
rnd_node,1,19,0.9728059332509271
rnd_node,1,20,0.9703337453646477
rnd_node,1,21,0.969097651421508
rnd_node,1,22,0.9629171817058096
rnd_node,1,23,0.9592088998763906
rnd_node,1,24,0.957972805933251
rnd_node,1,25,0.9567367119901112
rnd_node,1,26,0.9555006180469716
rnd_node,1,27,0.9530284301606922
rnd_node,1,28,0.9517923362175525
rnd_node,1,29,0.9505562422744128
rnd_node,1,30,0.9493201483312732
rnd_node,2,0,1.0
rnd_node,2,1,0.9987639060568603
rnd_node,2,2,0.9975278121137207
rnd_node,2,3,0.9962917181705809
rnd_node,2,4,0.9950556242274413
rnd_node,2,5,0.9938195302843016
rnd_node,2,6,0.9888751545117429
rnd_node,2,7,0.9876390605686032
rnd_node,2,8,0.9864029666254636
rnd_node,2,9,0.9839307787391842
rnd_node,2,10,0.9826946847960445
rnd_node,2,11,0.9814585908529048
rnd_node,2,12,0.9802224969097652
rnd_node,2,13,0.9789864029666254
rnd_node,2,14,0.9777503090234858
rnd_node,2,15,0.9765142150803461
rnd_node,2,16,0.9752781211372065
rnd_node,2,17,0.9740420271940667
rnd_node,2,18,0.9728059332509271
rnd_node,2,19,0.9715698393077874
rnd_node,2,20,0.9703337453646477
rnd_node,2,21,0.969097651421508
rnd_node,2,22,0.9678615574783683
rnd_node,2,23,0.9666254635352287
rnd_node,2,24,0.965389369592089
rnd_node,2,25,0.9592088998763906
rnd_node,2,26,0.957972805933251
rnd_node,2,27,0.9567367119901112
rnd_node,2,28,0.9542645241038319
rnd_node,2,29,0.9530284301606922
rnd_node,2,30,0.9517923362175525
rnd_node,3,0,1.0
rnd_node,3,1,0.9987639060568603
rnd_node,3,2,0.9975278121137207
rnd_node,3,3,0.9901112484548825
rnd_node,3,4,0.9888751545117429
rnd_node,3,5,0.9876390605686032
rnd_node,3,6,0.9864029666254636
rnd_node,3,7,0.9851668726823238
rnd_node,3,8,0.9604449938195303
rnd_node,3,9,0.9592088998763906
rnd_node,3,10,0.9567367119901112
rnd_node,3,11,0.9555006180469716
rnd_node,3,12,0.9542645241038319
rnd_node,3,13,0.9517923362175525
rnd_node,3,14,0.9505562422744128
rnd_node,3,15,0.9493201483312732
rnd_node,3,16,0.9480840543881335
rnd_node,3,17,0.9468479604449939
